n,device_knumber,predicate_knumber,tier,verdict,sample,where_in_document,pair,in_cord_rule1,removed_by_rule2,verdict_note
1,K022079,K020045,PROXIMITY_ONLY,YES,validation_199,,"('K022079', 'K020045')",True,False,
2,K022079,K913282,PROXIMITY_ONLY,YES,validation_199,,"('K022079', 'K913282')",True,False,
3,K022463,K994038,SECTION_HEADED,YES,validation_199,,"('K022463', 'K994038')",True,False,
4,K030501,K984296,SECTION_HEADED,YES,validation_199,,"('K030501', 'K984296')",True,False,
5,K042093,K021621,PROXIMITY_ONLY,YES,validation_199,,"('K042093', 'K021621')",True,False,
6,K050441,K002757,PROXIMITY_ONLY,NO,validation_199,,"('K050441', 'K002757')",True,True,
7,K050441,K021380,PROXIMITY_ONLY,NO,validation_199,,"('K050441', 'K021380')",True,True,
8,K050441,K033871,PROXIMITY_ONLY,NO,validation_199,,"('K050441', 'K033871')",True,True,
9,K050441,K042774,PROXIMITY_ONLY,NO,validation_199,,"('K050441', 'K042774')",True,True,
10,K050441,K921301,PROXIMITY_ONLY,YES,validation_199,,"('K050441', 'K921301')",True,False,
11,K050441,K943230,PROXIMITY_ONLY,YES,validation_199,,"('K050441', 'K943230')",True,False,
12,K050441,K974558,PROXIMITY_ONLY,NO,validation_199,,"('K050441', 'K974558')",True,True,
13,K050441,K990830,PROXIMITY_ONLY,NO,validation_199,,"('K050441', 'K990830')",True,True,
14,K050556,K021109,SECTION_HEADED,YES,validation_199,,"('K050556', 'K021109')",True,False,
15,K050556,K042035,SECTION_HEADED,YES,validation_199,,"('K050556', 'K042035')",True,False,
16,K051000,K031914,SECTION_HEADED,YES,validation_199,,"('K051000', 'K031914')",True,False,
17,K051740,K993910,SECTION_HEADED,YES,validation_199,,"('K051740', 'K993910')",True,False,
18,K053053,K043066,SECTION_HEADED,YES,validation_199,,"('K053053', 'K043066')",True,False,
19,K061389,K033355,PROXIMITY_ONLY,YES,validation_199,,"('K061389', 'K033355')",True,False,
20,K063544,K000538,SECTION_HEADED,YES,validation_199,,"('K063544', 'K000538')",True,False,
21,K063544,K002592,SECTION_HEADED,YES,validation_199,,"('K063544', 'K002592')",True,False,
22,K063544,K051531,SECTION_HEADED,YES,validation_199,,"('K063544', 'K051531')",True,False,
23,K063544,K060442,SECTION_HEADED,YES,validation_199,,"('K063544', 'K060442')",True,False,
24,K063544,K971730,SECTION_HEADED,YES,validation_199,,"('K063544', 'K971730')",True,False,
25,K063544,K971883,SECTION_HEADED,YES,validation_199,,"('K063544', 'K971883')",True,False,
26,K072326,K032064,SECTION_HEADED,YES,validation_199,,"('K072326', 'K032064')",True,False,
27,K072326,K051089,PROXIMITY_ONLY,NO,validation_199,,"('K072326', 'K051089')",True,False,
28,K072326,K052384,SECTION_HEADED,YES,validation_199,,"('K072326', 'K052384')",True,False,
29,K072326,K052746,SECTION_HEADED,YES,validation_199,,"('K072326', 'K052746')",True,False,
30,K090408,K080241,SECTION_HEADED,YES,validation_199,,"('K090408', 'K080241')",True,False,
31,K093047,K072212,PROXIMITY_ONLY,YES,validation_199,,"('K093047', 'K072212')",True,False,
32,K093047,K090675,SECTION_HEADED,YES,validation_199,,"('K093047', 'K090675')",True,False,
33,K093047,K870961,SECTION_HEADED,YES,validation_199,,"('K093047', 'K870961')",True,False,
34,K093047,K962808,SECTION_HEADED,YES,validation_199,,"('K093047', 'K962808')",True,False,
35,K093047,K970748,SECTION_HEADED,YES,validation_199,,"('K093047', 'K970748')",True,False,
36,K093047,K994143,PROXIMITY_ONLY,YES,validation_199,,"('K093047', 'K994143')",True,False,
37,K093914,K070447,PROXIMITY_ONLY,YES,validation_199,,"('K093914', 'K070447')",True,False,
38,K100214,K073285,PROXIMITY_ONLY,YES,validation_199,,"('K100214', 'K073285')",True,False,
39,K100214,K091088,PROXIMITY_ONLY,YES,validation_199,,"('K100214', 'K091088')",True,False,
40,K100214,K092336,PROXIMITY_ONLY,YES,validation_199,,"('K100214', 'K092336')",True,False,
41,K101682,K000236,SECTION_HEADED,YES,validation_199,,"('K101682', 'K000236')",True,False,
42,K101682,K000536,SECTION_HEADED,YES,validation_199,,"('K101682', 'K000536')",True,False,
43,K101682,K042673,SECTION_HEADED,YES,validation_199,,"('K101682', 'K042673')",True,False,
44,K101682,K082032,SECTION_HEADED,YES,validation_199,,"('K101682', 'K082032')",True,False,
45,K101682,K884263,SECTION_HEADED,YES,validation_199,,"('K101682', 'K884263')",True,False,
46,K103414,K003780,SECTION_HEADED,YES,validation_199,,"('K103414', 'K003780')",True,False,
47,K103414,K050979,SECTION_HEADED,YES,validation_199,,"('K103414', 'K050979')",True,False,
48,K103414,K060152,SECTION_HEADED,YES,validation_199,,"('K103414', 'K060152')",True,False,
49,K111983,K070382,SECTION_HEADED,YES,validation_199,,"('K111983', 'K070382')",True,False,
50,K111983,K082848,SECTION_HEADED,YES,validation_199,,"('K111983', 'K082848')",True,False,
51,K111983,K092336,SECTION_HEADED,YES,validation_199,,"('K111983', 'K092336')",True,False,
52,K113346,K030377,SECTION_HEADED,YES,validation_199,,"('K113346', 'K030377')",True,False,
53,K113346,K031985,SECTION_HEADED,YES,validation_199,,"('K113346', 'K031985')",True,False,
54,K113346,K052566,SECTION_HEADED,YES,validation_199,,"('K113346', 'K052566')",True,False,
55,K113346,K062505,SECTION_HEADED,YES,validation_199,,"('K113346', 'K062505')",True,False,
